FLUKE 54-II,   V1.5,   
Start Time,Stop Time,Elapsed Time,Interval,Total readings,Thermocouple Type,Scaling
1/26/2021 12:28:03 AM,1/26/2021 8:46:03 AM,8:18:00,0:01:00,499,K,(none)
,Max Time Stamp,Max,,Average,,Min,,Min Time Stamp,Offset
T1,1/26/2021 8:27:03 AM,70.1,°F,69.2,°F,68.1,°F,1/26/2021 12:30:03 AM,0.0 °F
T2,1/26/2021 8:13:03 AM,70.3,°F,69.3,°F,68.5,°F,1/26/2021 2:42:03 AM,0.0 °F
T1-T2,1/26/2021 1:29:03 AM,0.2,°F,-0.1,°F,-1.2,°F,1/26/2021 12:30:03 AM,
Reading,T1,,T2,,T1-T2,,Time Stamp
74,68.9,°F,68.8,°F,0.1,°F,1/26/2021 1:41:03 AM
75,68.9,°F,68.8,°F,0.1,°F,1/26/2021 1:42:03 AM
76,68.9,°F,68.9,°F,0,°F,1/26/2021 1:43:03 AM
77,68.9,°F,68.9,°F,0,°F,1/26/2021 1:44:03 AM
78,68.9,°F,68.9,°F,0,°F,1/26/2021 1:45:03 AM
79,68.8,°F,68.9,°F,-0.1,°F,1/26/2021 1:46:03 AM
80,68.8,°F,68.9,°F,-0.1,°F,1/26/2021 1:47:03 AM
81,68.8,°F,68.9,°F,-0.1,°F,1/26/2021 1:48:03 AM
82,68.8,°F,69,°F,-0.2,°F,1/26/2021 1:49:03 AM
83,68.8,°F,69,°F,-0.2,°F,1/26/2021 1:50:03 AM
84,68.8,°F,69,°F,-0.2,°F,1/26/2021 1:51:03 AM
85,68.8,°F,69,°F,-0.2,°F,1/26/2021 1:52:03 AM
86,68.8,°F,69,°F,-0.2,°F,1/26/2021 1:53:03 AM
87,68.9,°F,69,°F,-0.1,°F,1/26/2021 1:54:03 AM
88,68.9,°F,69,°F,-0.1,°F,1/26/2021 1:55:03 AM
89,68.9,°F,69,°F,-0.1,°F,1/26/2021 1:56:03 AM
90,68.9,°F,69,°F,-0.1,°F,1/26/2021 1:57:03 AM
91,68.9,°F,69,°F,-0.1,°F,1/26/2021 1:58:03 AM
92,68.9,°F,69,°F,-0.1,°F,1/26/2021 1:59:03 AM
93,68.9,°F,69,°F,-0.1,°F,1/26/2021 2:00:03 AM
94,68.9,°F,69,°F,-0.1,°F,1/26/2021 2:01:03 AM
95,68.9,°F,69,°F,-0.1,°F,1/26/2021 2:02:03 AM
96,68.9,°F,69,°F,-0.1,°F,1/26/2021 2:03:03 AM
97,68.9,°F,69,°F,-0.1,°F,1/26/2021 2:04:03 AM
98,68.9,°F,68.9,°F,0,°F,1/26/2021 2:05:03 AM
99,68.9,°F,68.9,°F,0,°F,1/26/2021 2:06:03 AM
100,68.9,°F,68.9,°F,0,°F,1/26/2021 2:07:03 AM
101,68.9,°F,68.9,°F,0,°F,1/26/2021 2:08:03 AM
102,68.9,°F,68.9,°F,0,°F,1/26/2021 2:09:03 AM
103,68.9,°F,68.9,°F,0,°F,1/26/2021 2:10:03 AM
104,68.9,°F,68.9,°F,0,°F,1/26/2021 2:11:03 AM
105,68.9,°F,68.9,°F,0,°F,1/26/2021 2:12:03 AM
106,68.9,°F,68.9,°F,0,°F,1/26/2021 2:13:03 AM
107,68.9,°F,68.9,°F,0,°F,1/26/2021 2:14:03 AM
108,68.9,°F,68.9,°F,0,°F,1/26/2021 2:15:03 AM
109,68.9,°F,68.9,°F,0,°F,1/26/2021 2:16:03 AM
110,68.9,°F,68.8,°F,0.1,°F,1/26/2021 2:17:03 AM
111,68.9,°F,68.8,°F,0.1,°F,1/26/2021 2:18:03 AM
112,68.9,°F,68.8,°F,0.1,°F,1/26/2021 2:19:03 AM
113,68.9,°F,68.8,°F,0.1,°F,1/26/2021 2:20:03 AM
114,68.9,°F,68.8,°F,0.1,°F,1/26/2021 2:21:03 AM
115,68.9,°F,68.7,°F,0.2,°F,1/26/2021 2:22:03 AM
116,68.9,°F,68.8,°F,0.1,°F,1/26/2021 2:23:03 AM
117,68.9,°F,68.7,°F,0.2,°F,1/26/2021 2:24:03 AM
118,68.9,°F,68.7,°F,0.2,°F,1/26/2021 2:25:03 AM
119,68.9,°F,68.7,°F,0.2,°F,1/26/2021 2:26:03 AM
120,68.9,°F,68.7,°F,0.2,°F,1/26/2021 2:27:03 AM
121,68.9,°F,68.7,°F,0.2,°F,1/26/2021 2:28:03 AM
122,68.9,°F,68.7,°F,0.2,°F,1/26/2021 2:29:03 AM
123,68.9,°F,68.7,°F,0.2,°F,1/26/2021 2:30:03 AM
124,68.9,°F,68.7,°F,0.2,°F,1/26/2021 2:31:03 AM
125,68.8,°F,68.7,°F,0.1,°F,1/26/2021 2:32:03 AM
126,68.8,°F,68.7,°F,0.1,°F,1/26/2021 2:33:03 AM
127,68.8,°F,68.6,°F,0.2,°F,1/26/2021 2:34:03 AM
128,68.8,°F,68.6,°F,0.2,°F,1/26/2021 2:35:03 AM
129,68.8,°F,68.6,°F,0.2,°F,1/26/2021 2:36:03 AM
130,68.8,°F,68.6,°F,0.2,°F,1/26/2021 2:37:03 AM
131,68.8,°F,68.6,°F,0.2,°F,1/26/2021 2:38:03 AM
132,68.8,°F,68.6,°F,0.2,°F,1/26/2021 2:39:03 AM
133,68.8,°F,68.6,°F,0.2,°F,1/26/2021 2:40:03 AM
134,68.8,°F,68.6,°F,0.2,°F,1/26/2021 2:41:03 AM
135,68.7,°F,68.5,°F,0.2,°F,1/26/2021 2:42:03 AM
136,68.7,°F,68.5,°F,0.2,°F,1/26/2021 2:43:03 AM
137,68.7,°F,68.5,°F,0.2,°F,1/26/2021 2:44:03 AM
138,68.7,°F,68.5,°F,0.2,°F,1/26/2021 2:45:03 AM
139,68.7,°F,68.5,°F,0.2,°F,1/26/2021 2:46:03 AM
140,68.7,°F,68.5,°F,0.2,°F,1/26/2021 2:47:03 AM
141,68.7,°F,68.5,°F,0.2,°F,1/26/2021 2:48:03 AM
142,68.7,°F,68.5,°F,0.2,°F,1/26/2021 2:49:03 AM
143,68.7,°F,68.5,°F,0.2,°F,1/26/2021 2:50:03 AM
144,68.7,°F,68.5,°F,0.2,°F,1/26/2021 2:51:03 AM
145,68.7,°F,68.5,°F,0.2,°F,1/26/2021 2:52:03 AM
146,68.7,°F,68.5,°F,0.2,°F,1/26/2021 2:53:03 AM
147,68.7,°F,68.5,°F,0.2,°F,1/26/2021 2:54:03 AM
148,68.7,°F,68.5,°F,0.2,°F,1/26/2021 2:55:03 AM
149,68.7,°F,68.6,°F,0.1,°F,1/26/2021 2:56:03 AM
150,68.7,°F,68.6,°F,0.1,°F,1/26/2021 2:57:03 AM
151,68.7,°F,68.7,°F,0,°F,1/26/2021 2:58:03 AM
152,68.6,°F,68.7,°F,-0.1,°F,1/26/2021 2:59:03 AM
153,68.6,°F,68.7,°F,-0.1,°F,1/26/2021 3:00:03 AM
154,68.6,°F,68.7,°F,-0.1,°F,1/26/2021 3:01:03 AM
155,68.6,°F,68.8,°F,-0.2,°F,1/26/2021 3:02:03 AM
156,68.6,°F,68.8,°F,-0.2,°F,1/26/2021 3:03:03 AM
157,68.6,°F,68.8,°F,-0.2,°F,1/26/2021 3:04:03 AM
158,68.6,°F,68.8,°F,-0.2,°F,1/26/2021 3:05:03 AM
159,68.6,°F,68.8,°F,-0.2,°F,1/26/2021 3:06:03 AM
160,68.6,°F,68.8,°F,-0.2,°F,1/26/2021 3:07:03 AM
161,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 3:08:03 AM
162,68.6,°F,68.8,°F,-0.2,°F,1/26/2021 3:09:03 AM
163,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 3:10:03 AM
164,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 3:11:03 AM
165,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 3:12:03 AM
166,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 3:13:03 AM
167,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 3:14:03 AM
168,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 3:15:03 AM
169,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 3:16:03 AM
170,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 3:17:03 AM
171,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 3:18:03 AM
172,68.7,°F,68.7,°F,0,°F,1/26/2021 3:19:03 AM
173,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 3:20:03 AM
174,68.7,°F,68.7,°F,0,°F,1/26/2021 3:21:03 AM
175,68.7,°F,68.7,°F,0,°F,1/26/2021 3:22:03 AM
176,68.7,°F,68.7,°F,0,°F,1/26/2021 3:23:03 AM
177,68.7,°F,68.7,°F,0,°F,1/26/2021 3:24:03 AM
178,68.7,°F,68.7,°F,0,°F,1/26/2021 3:25:03 AM
179,68.7,°F,68.7,°F,0,°F,1/26/2021 3:26:03 AM
180,68.7,°F,68.7,°F,0,°F,1/26/2021 3:27:03 AM
181,68.7,°F,68.7,°F,0,°F,1/26/2021 3:28:03 AM
182,68.7,°F,68.7,°F,0,°F,1/26/2021 3:29:03 AM
183,68.7,°F,68.7,°F,0,°F,1/26/2021 3:30:03 AM
184,68.7,°F,68.7,°F,0,°F,1/26/2021 3:31:03 AM
185,68.7,°F,68.7,°F,0,°F,1/26/2021 3:32:03 AM
186,68.7,°F,68.7,°F,0,°F,1/26/2021 3:33:03 AM
187,68.7,°F,68.7,°F,0,°F,1/26/2021 3:34:03 AM
188,68.7,°F,68.7,°F,0,°F,1/26/2021 3:35:03 AM
189,68.7,°F,68.7,°F,0,°F,1/26/2021 3:36:03 AM
190,68.7,°F,68.7,°F,0,°F,1/26/2021 3:37:03 AM
191,68.7,°F,68.7,°F,0,°F,1/26/2021 3:38:03 AM
192,68.7,°F,68.7,°F,0,°F,1/26/2021 3:39:03 AM
193,68.7,°F,68.7,°F,0,°F,1/26/2021 3:40:03 AM
194,68.7,°F,68.6,°F,0.1,°F,1/26/2021 3:41:03 AM
195,68.7,°F,68.6,°F,0.1,°F,1/26/2021 3:42:03 AM
196,68.7,°F,68.6,°F,0.1,°F,1/26/2021 3:43:03 AM
197,68.7,°F,68.6,°F,0.1,°F,1/26/2021 3:44:03 AM
198,68.7,°F,68.6,°F,0.1,°F,1/26/2021 3:45:03 AM
199,68.7,°F,68.6,°F,0.1,°F,1/26/2021 3:46:03 AM
200,68.7,°F,68.5,°F,0.2,°F,1/26/2021 3:47:03 AM
201,68.7,°F,68.5,°F,0.2,°F,1/26/2021 3:48:03 AM
202,68.7,°F,68.5,°F,0.2,°F,1/26/2021 3:49:03 AM
203,68.7,°F,68.5,°F,0.2,°F,1/26/2021 3:50:03 AM
204,68.7,°F,68.6,°F,0.1,°F,1/26/2021 3:51:03 AM
205,68.7,°F,68.6,°F,0.1,°F,1/26/2021 3:52:03 AM
206,68.7,°F,68.6,°F,0.1,°F,1/26/2021 3:53:03 AM
207,68.7,°F,68.7,°F,0,°F,1/26/2021 3:54:03 AM
208,68.7,°F,68.7,°F,0,°F,1/26/2021 3:55:03 AM
209,68.7,°F,68.7,°F,0,°F,1/26/2021 3:56:03 AM
210,68.7,°F,68.7,°F,0,°F,1/26/2021 3:57:03 AM
211,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 3:58:03 AM
212,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 3:59:03 AM
213,68.7,°F,68.8,°F,-0.1,°F,1/26/2021 4:00:03 AM
214,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:01:03 AM
215,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:02:03 AM
216,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:03:03 AM
217,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:04:03 AM
218,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:05:03 AM
219,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:06:03 AM
220,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:07:03 AM
221,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:08:03 AM
222,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:09:03 AM
223,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:10:03 AM
224,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:11:03 AM
225,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:12:03 AM
226,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:13:03 AM
227,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:14:03 AM
228,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:15:03 AM
229,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:16:03 AM
230,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:17:03 AM
231,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:18:03 AM
232,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:19:03 AM
233,68.7,°F,68.9,°F,-0.2,°F,1/26/2021 4:20:03 AM
234,68.8,°F,68.9,°F,-0.1,°F,1/26/2021 4:21:03 AM
235,68.8,°F,68.9,°F,-0.1,°F,1/26/2021 4:22:03 AM
236,68.8,°F,68.8,°F,0,°F,1/26/2021 4:23:03 AM
