r, t1, t2
1, 69.7, 68.9
2, 69.7, 68.7
3, 69.7, 68.7
4, 69.7, 68.7
5, 69.7, 68.7
6, 69.6, 68.7
7, 69.6, 68.7
8, 69.6, 68.7
9, 69.6, 68.6
10, 69.5, 68.7
11, 69.5, 68.6
12, 69.5, 68.6
13, 69.5, 68.6
14, 69.5, 68.5
15, 69.5, 68.6
16, 69.5, 68.5
17, 69.5, 68.5
18, 69.5, 68.5
19, 69.4, 68.5
20, 69.4, 68.5
21, 69.4, 68.5
22, 69.4, 68.5
23, 69.4, 68.5
24, 69.3, 68.6
25, 69.3, 68.5
26, 69.3, 68.6
27, 69.3, 68.6
28, 69.3, 68.6
29, 69.3, 68.6
30, 69.3, 68.6
31, 69.3, 68.6
32, 69.3, 68.7
33, 69.3, 68.5
34, 69.3, 68.7
35, 69.3, 68.7
36, 69.3, 68.7
37, 69.3, 68.6
38, 69.3, 68.7
39, 69.3, 68.7
40, 69.3, 68.8
41, 69.3, 68.7
42, 69.3, 68.7
43, 69.3, 68.6
44, 69.3, 68.6
45, 69.3, 68.7
46, 69.3, 68.6
47, 69.3, 68.7
48, 69.3, 68.7
49, 69.3, 68.6
50, 69.3, 68.7
51, 69.3, 68.7
52, 69.3, 68.6
53, 69.3, 68.5
54, 69.3, 68.6
55, 69.3, 68.5
56, 69.3, 68.6
57, 69.3, 68.5
58, 69.3, 68.7
59, 69.3, 68.6
60, 69.3, 68.5
61, 69.3, 68.6
62, 69.3, 68.6
63, 69.3, 68.6
64, 69.3, 68.6
65, 69.3, 68.5
66, 69.3, 68.5
67, 69.3, 68.5
68, 69.3, 68.6
69, 69.3, 68.5
70, 69.3, 68.5
71, 69.3, 68.5
72, 69.3, 68.5
73, 69.3, 68.6
74, 69.3, 68.5
75, 69.3, 68.5
76, 69.3, 68.5
77, 69.3, 68.7
78, 69.2, 68.5
79, 69.2, 68.5
80, 69.2, 68.5
81, 69.2, 68.5
