r, t1, t2
1, 69.7, 69.7
2, 69.6, 69.6
3, 69.5, 69.5
4, 69.5, 69.5
5, 69.4, 69.4
6, 69.3, 69.3
7, 69.3, 69.3
8, 69.2, 69.2
9, 69.2, 69.2
10, 69.2, 69.2
11, 69.1, 69.1
12, 69.1, 69.1
13, 69.1, 69.1
14, 69.1, 69.1
15, 69.1, 69.1
16, 69.1, 69.1
17, 69.1, 69.1
18, 69.1, 69.1
19, 69.1, 69.1
20, 69.1, 69.1
21, 69.1, 69.1
22, 69.1, 69.1
23, 69.1, 69.1
24, 69.1, 69.0
25, 69.0, 69.0
26, 69.0, 69.0
27, 69.0, 69.0
28, 69.0, 69.0
29, 69.0, 69.0
30, 69.0, 69.0
31, 69.0, 69.0
32, 69.0, 68.9
33, 69.0, 68.9
34, 69.0, 68.9
35, 68.9, 68.9
36, 68.9, 68.9
37, 68.9, 68.9
38, 68.9, 68.9
39, 68.9, 68.9
40, 68.9, 68.9
41, 68.9, 68.9
42, 68.9, 68.9
43, 68.9, 68.9
44, 68.9, 68.9
45, 68.9, 68.9
46, 68.9, 68.9
47, 68.9, 68.9
48, 68.9, 68.9
49, 68.9, 68.9
50, 68.9, 68.9
51, 68.9, 68.9
52, 68.9, 68.9
53, 68.9, 68.9
54, 68.9, 68.9
55, 68.9, 68.9
56, 68.9, 68.9
57, 68.9, 68.9
58, 68.9, 68.9
59, 68.9, 68.9
60, 68.9, 68.9
61, 68.9, 68.9
62, 68.9, 68.9
63, 68.9, 68.9
64, 68.9, 68.9
65, 68.9, 68.9
66, 68.8, 68.8
67, 68.8, 68.8
68, 68.8, 68.8
69, 68.8, 68.7
70, 68.7, 68.7
71, 68.7, 68.7
72, 68.7, 68.7
73, 68.7, 68.7
74, 68.7, 68.7
75, 68.7, 68.7
76, 68.7, 68.7
77, 68.7, 68.7
78, 68.7, 68.7
79, 68.7, 68.7
80, 68.7, 68.6
81, 68.6, 68.6
82, 68.6, 68.6
83, 68.6, 68.6
84, 68.6, 68.6
85, 68.5, 68.5
